"a_id","s_name","realese_yr"
"1","Batwoman","2019"
"2","Chicago PD","2014"
"3","FBI","2018"
"4","FBI most wanted","2020"
"5","LOKI","2021"
"6","Legacies","2018"
"7","Lucifer","2016"
"8","Hanna","2019"
"9","Seal Team","2017"
"10","Succession","2018"
"11","Yellowstone","2018"
"12","911","2018"
"13","The Great","2020"
"14","S.W.A.T","2017"
"15","Blade Runner Black Lotus","2021"
"16","Money Heist","2017"
"17","The Walking Dead;World Beyond","2010"
"18","Squid Game","2021"
"19","Queen Of The South","2016"
"20","NCIS","2003"
"21","Bob Hearts Abishola","2019"
"22","NCIS Hawaii","2021"
"23","THE Big Leap","2021"
"24","Emily in Paris","2020"
"25","4400","2021"
"26","Insecure","2016"
"27","Nancy Drew","2019"
"28","The Morning Show","2019"
"29","The Neighbourhood","2018"
"30","Riverdale","2017"
"31","The Flash","2014"
"32","The Resident","2018"
"33","chucky","2021"
"34","Alex Rider","2020"
"35","Invasion","2021"
"36","Superman and Lois","2021"
"37","Magnum Pi","2018"
"38","Blue Bloods","2010"
"39","See","2019"
"40","CSI Vegas","2021"
"41","Lost In Space","2018"
"42","The Box","2021"
"43","The Sex Lives Of College Girls","2021"
"44","The Rookie","2018"
"45","Landscapers","2021"
"46","Sex Education","2019"
"47","Kevin Can Fuck Himself","2021"
"48","Sex Life","2021"
"49","Never Have I Ever","2020"
"50","And Just Like That","2021"
"51","The oval","2019"
"52","Hawkeye","2021"
"53","Queens","2021"
"54","Rick and Morty","2013"
"55","Tom and Jerry in New York","2021"
"56","Lie With Me","2005"
"57","Star Trek Discovery","2017"
"58","The Witcher","2019"
"59","Big Sky","2020"
"60","MacGruber","2021"
"61","The Expanse","2015"
"62","Ragdoll","2021"
"63","Station Eleven","2021"
"64","Firebite","2021"
"66","Nikita","2010"
"67","Welcome To Earth","2021"
"68","Fast & Furios spy Racers","2019"
"69","Yellowjackets","2021"
"70","Power Book II Ghost","2020"
"71","Dexter","2006"
"72","Day Of The Dead","2021"
"73","Godfather Of Harlem","2019"
"74","Blood And Water","2020"
"75","Cursed","2020"
"76","1883","2021"
"77","Demon Slayer Kimetsu No Yaiba","2019"
"78","La Brea","2021"
"79","What If","2021"
"80","Strike Back","2010"
"81","supergirl","2015"
"82","The Blacklist","2013"
"83","You","2018"
"84","Dynasty","2017"
"85","Station 19","2018"
"86","Tyler Perrys Sistas","2019"
"87","Arrow","2012"
"88","Wu Assassins","2019"
"89","Daredevil","2015"
