id,name,TMDB_ID,year,genre
1,Batwoman,/tv/89247,2019,"Sci-Fi & Fantasy, Action & Adventure"
2,Chicago PD,/tv/58841,2014,"Crime, Drama"
3,FBI,/tv/80748,2018,"Crime, Drama, Action & Adventure"
4,FBI most wanted,/tv/94372,2020,"Crime, Drama"
5,Loki,/tv/84958,2021,"Drama, Sci-Fi & Fantasy"
6,Legacies,/tv/79460,2018,"Sci-Fi & Fantasy, Drama"
7,Lucifer,/tv/63174,2016,"Crime, Sci-Fi & Fantasy"
8,Hanna,/tv/54155,2019,"Action & Adventure, Drama"
9,SEAL Team,/tv/71789,2017,"Action & Adventure, Drama, War & Politics"
10,Succession,/tv/76331,2018,"Drama, Comedy"
11,Yellowstone,/tv/73586,2018,"Western, Drama"
12,911,/tv/75219,2018,"Drama, Crime, Action & Adventure"
13,The Great,/tv/93812,2020,"Drama, Comedy"
14,S.W.A.T,/tv/71790,2017,"Action & Adventure, Crime, Drama"
15,Blade Runner Black Lotus,/tv/84553,2021,"Animation, Sci-Fi & Fantasy, Action & Adventure"
16,Money Heist,/tv/71446,2017,"Crime, Drama"
17,The Walking Dead;World Beyond,/tv/1402,2010,"Action & Adventure, Drama, Sci-Fi & Fantasy"
18,Squid Game,/tv/93405,2021,"Action & Adventure, Mystery, Drama"
19,Queen of the South,/tv/66676,2016,"Crime, Drama"
20,NCIS,/tv/4614,2003,"Crime, Action & Adventure, Drama"
21,Bob Hearts Abishola,/tv/92461,2019,Comedy
22,NCIS Hawaii,/tv/124271,2021,"Crime, Drama"
23,The Big Leap,/tv/127161,2021,Drama
24,Emily in Paris,/tv/82596,2020,"Drama, Comedy"
25,4400,/tv/127581,2021,"Sci-Fi & Fantasy, Drama"
26,Insecure,/tv/67883,2016,"Comedy, Drama"
27,Nancy Drew,/tv/89572,2019,"Mystery, Drama, Sci-Fi & Fantasy"
28,The Morning Show,/tv/90282,2019,Drama
30,Riverdale,/tv/69050,2017,"Crime, Drama, Mystery"
31,The Flash,/tv/60735,2014,"Drama, Sci-Fi & Fantasy"
32,The Resident,/tv/74016,2018,Drama
33,Chucky,/tv/90462,2021,"Crime, Sci-Fi & Fantasy"
34,Alex Rider,/tv/99799,2020,"Drama, Action & Adventure"
35,Invasion,/tv/127235,2021,"Sci-Fi & Fantasy, Drama"
36,Superman and Lois,/tv/95057,2021,"Sci-Fi & Fantasy, Drama"
37,Magnum Pi,/tv/79593,2018,Action & Adventure
38,Blue Bloods,/tv/32692,2010,"Drama, Crime"
39,See,/tv/80752,2019,"Drama, Sci-Fi & Fantasy, Action & Adventure"
40,CSI Vegas,/tv/122194,2021,"Crime, Drama, Mystery"
41,Lost in Space,/tv/75758,2018,"Sci-Fi & Fantasy, Action & Adventure, Drama"
42,The Box,/tv/128653,2021,Drama
43,The Sex Lives of College Girls,/tv/134373,2021,"Comedy, Drama"
44,The Rookie,/tv/79744,2018,"Crime, Drama"
45,Landscapers,/tv/113987,2021,"Comedy, Crime, Drama"
46,Sex Education,/tv/81356,2019,"Comedy, Drama"
47,Kevin Can Fuck Himself,/tv/99652,2021,"Comedy, Drama"
48,Sex Life,/tv/126280,2021,Drama
49,Never Have I Ever,/tv/100883,2020,Comedy
50,And Just Like That,/tv/116450,2021,"Comedy, Drama"
51,The oval,/tv/95004,2019,Drama
52,Hawkeye,/tv/88329,2021,"Drama, Comedy, Action & Adventure"
53,Queens,/tv/127390,2021,"Soap, Drama"
54,Rick and Morty,/tv/60625,2013,"Animation, Comedy, Sci-Fi & Fantasy, Action & Adventure"
55,Tom and Jerry in New York,/tv/127445,2021,"Animation, Comedy, Kids"
56,Lie with Me,/tv/129019,2021,Drama
57,Star Trek Discovery,/tv/67198,2017,"Sci-Fi & Fantasy, Action & Adventure"
58,The Witcher,/tv/71912,2019,"Drama, Action & Adventure"
59,Big Sky,/tv/100010,2020,"Crime, Drama, Mystery"
60,MacGruber,/tv/107314,2021,"Action & Adventure, Comedy"
61,The Expanse,/tv/63639,2015,"Drama, Mystery, Sci-Fi & Fantasy"
62,Ragdoll,/tv/135156,2021,"Mystery, Crime"
63,Station Eleven,/tv/90972,2021,"Drama, Sci-Fi & Fantasy"
64,Firebite,/tv/138525,2021,Sci-Fi & Fantasy
66,Nikita,/tv/32868,2010,"Drama, Action & Adventure"
67,Welcome to Earth,/tv/127700,2021,"Documentary, Reality"
68,Fast & Furios spy Racers,/tv/95594,2019,"Animation, Action & Adventure, Kids, Family"
69,Yellowjackets,/tv/117488,2021,"Drama, Mystery"
70,Power Book II Ghost,/tv/97890,2020,"Crime, Drama"
71,Dexter,/tv/1405,2006,"Crime, Drama, Mystery"
72,Day of the Dead,/tv/129897,2021,"Action & Adventure, Sci-Fi & Fantasy"
73,Godfather of Harlem,/tv/79086,2019,"Crime, Drama"
74,Blood and Water,/tv/64641,2015,"Crime, Drama"
75,Cursed,/tv/83125,2020,"Action & Adventure, Sci-Fi & Fantasy"
75,Cursed,/tv/5786,2012,Documentary
76,1883,/tv/118357,2021,"Western, Drama"
77,Demon Slayer Kimetsu No Yaiba,/tv/85937,2019,"Animation, Sci-Fi & Fantasy, Action & Adventure"
78,La Brea,/tv/128839,2021,"Drama, Sci-Fi & Fantasy, Action & Adventure"
79,What If,/tv/91363,2021,"Animation, Action & Adventure, Sci-Fi & Fantasy"
80,Strike Back,/tv/32573,2010,"Drama, Action & Adventure"
80,Strike Back,/tv/126971,2020,
81,Supergirl,/tv/62688,2015,"Drama, Sci-Fi & Fantasy, Action & Adventure"
82,The Blacklist,/tv/46952,2013,"Drama, Crime, Mystery"
83,You,/tv/78191,2018,"Mystery, Crime, Drama"
84,Dynasty,/tv/72002,2017,"Drama, Soap"
85,Station 19,/tv/76773,2018,"Drama, Action & Adventure"
86,Tyler Perrys Sistas,/tv/94686,2019,"Comedy, Drama"
87,Arrow,/tv/1412,2012,"Crime, Drama, Mystery, Action & Adventure"
88,Wu Assassins,/tv/86752,2019,"Sci-Fi & Fantasy, Drama, Action & Adventure, Crime"
89,Daredevil,/tv/61889,2015,"Crime, Drama, Action & Adventure"
90,Into the Badlands,/tv/47450,2015,Action & Adventure
91,Greys' Anatomy,/tv/1416,2005,Drama
92,The Good Doctor,/tv/71712,2017,Drama
93,Lupin,/tv/96677,2021,"Crime, Drama, Mystery"
94,Hightown,/tv/86588,2020,"Drama, Crime"
95,Outer Banks,/tv/100757,2020,"Action & Adventure, Drama, Mystery"
96,Game of Thrones,/tv/1399,2011,"Sci-Fi & Fantasy, Drama, Action & Adventure"
97,The 100,/tv/48866,2014,"Sci-Fi & Fantasy, Drama, Action & Adventure"
98,Utopia,/tv/46511,2013,"Mystery, Drama, Action & Adventure, Sci-Fi & Fantasy, Comedy"
99,DC's Legends of Tomorrow,/tv/62643,2016,"Action & Adventure, Sci-Fi & Fantasy, Drama"
100,Designated Survivor,/tv/67026,2016,"Drama, War & Politics"
101,The Last Ship,/tv/60802,2014,"Action & Adventure, Drama, Sci-Fi & Fantasy"
102,11.22.63,/tv/64464,2016,"Drama, Sci-Fi & Fantasy"
103,Letterkenny,/tv/65798,2016,Comedy
104,Vikings,/tv/44217,2013,"Action & Adventure, Drama, War & Politics"
105,911 Lone Star,/tv/89393,2020,"Drama, Action & Adventure, Crime"
106,Kenan,/tv/116609,2021,"Comedy, Family"
107,Cobra Kai,/tv/77169,2018,"Action & Adventure, Drama, Comedy"
108,Young Justice,/tv/33217,2010,"Animation, Sci-Fi & Fantasy, Action & Adventure"
109,Around the World in 80 Days,/tv/96228,2021,"Action & Adventure, Family"
110,The Equilizer,/tv/62153,2014,Sci-Fi & Fantasy
112,F is for Family,/tv/63522,2015,"Comedy, Animation"
113,Family Guy,/tv/1434,1999,"Animation, Comedy"
114,Elite,/tv/76669,2018,"Crime, Mystery, Drama"
115,Stay Close,/tv/136308,2021,"Drama, Crime, Mystery"
116,The Cleaning Lady,/tv/125282,2022,"Crime, Drama"
117,The Tourist,/tv/120909,2022,"Mystery, Drama"
118,This Is Us,/tv/67136,2016,"Comedy, Drama"
119,FBI International,/tv/121658,2021,"Crime, Drama"
120,Chicago Med,/tv/62650,2015,Drama
121,MacGyver,/tv/67133,2016,"Drama, Action & Adventure"
122,The Conners,/tv/80550,2018,Comedy
123,Gossip Girl,/tv/95249,2021,"Drama, Mystery"
124,The Outpost,/tv/79340,2018,"Sci-Fi & Fantasy, Action & Adventure"
125,The Big Theory,/tv/50133,2013,
126,Bodyguard,/tv/80307,2018,"Crime, Drama, War & Politics"
127,Deadly Class,/tv/75663,2019,"Drama, Crime, Action & Adventure"
128,Blackish,/tv/61381,2014,Comedy
129,Chicago Fire,/tv/44006,2012,Drama
130,Hawaii Five 0,/tv/32798,2010,"Crime, Drama, Action & Adventure"
