name,TMDB_ID
Batwoman,/tv/89247
FBI,/tv/80748
Legacies,/tv/79460
Lucifer,/tv/63174
Hanna,/tv/54155
Succession,/tv/76331
Yellowstone,/tv/73586
Yellowstone,/tv/19355
911,/tv/65619
The Great,/tv/93812
Money Heist,/tv/71446
Squid Game,/tv/93405
NCIS,/tv/4614
Bob Hearts Abishola,/tv/92461
Emily in Paris,/tv/82596
4400,/tv/127581
Insecure,/tv/67883
Nancy Drew,/tv/89572
Nancy Drew,/tv/26828
The Morning Show,/tv/90282
The Morning Show,/tv/1230
The Morning Show,/tv/41198
The Morning Show,/tv/26688
Riverdale,/tv/69050
Riverdale,/tv/10298
The Flash,/tv/60735
The Flash,/tv/236
The Resident,/tv/74016
Alex Rider,/tv/99799
Invasion,/tv/127235
Invasion,/tv/2940
Invasion,/tv/72642
Invasion,/tv/15874
Blue Bloods,/tv/32692
See,/tv/80752
The Box,/tv/128653
The Box,/tv/207795
The Box,/tv/40247
The Box,/tv/10660
The Box,/tv/12270
The Rookie,/tv/79744
The Rookie,/tv/7583
Landscapers,/tv/113987
Sex Education,/tv/81356
Sex Life,/tv/91862
Never Have I Ever,/tv/100883
Hawkeye,/tv/88329
Hawkeye,/tv/6016
Queens,/tv/127390
Queens,/tv/70137
Queens,/tv/107890
Rick and Morty,/tv/60625
Tom and Jerry in New York,/tv/127445
The Witcher,/tv/71912
The Witcher,/tv/17625
Big Sky,/tv/100010
Big Sky,/tv/10703
MacGruber,/tv/107314
The Expanse,/tv/63639
Ragdoll,/tv/135156
Station Eleven,/tv/90972
Firebite,/tv/138525
Nikita,/tv/32868
Yellowjackets,/tv/117488
Dexter,/tv/1405
Cursed,/tv/83125
Cursed,/tv/5786
1883,/tv/118357
La Brea,/tv/128839
What If,/tv/203255
What If,/tv/208452
What If,/tv/115488
What If,/tv/66565
Strike Back,/tv/32573
Strike Back,/tv/126971
The Blacklist,/tv/46952
You,/tv/78191
Dynasty,/tv/72002
Dynasty,/tv/3769
Dynasty,/tv/29938
Dynasty,/tv/138913
Station 19,/tv/76773
Arrow,/tv/1412
Wu Assassins,/tv/86752
The Good Doctor,/tv/71712
Lupin,/tv/96677
Hightown,/tv/86588
Outer Banks,/tv/100757
Game of Thrones,/tv/1399
The 100,/tv/48866
Utopia,/tv/78903
Utopia,/tv/46511
Utopia,/tv/63699
Utopia,/tv/61806
Utopia,/tv/61298
DC's Legends of Tomorrow,/tv/62643
Designated Survivor,/tv/67026
The Last Ship,/tv/60802
11.22.63,/tv/64464
Letterkenny,/tv/65798
Vikings,/tv/44217
Vikings,/tv/61856
Kenan,/tv/116609
Cobra Kai,/tv/77169
Young Justice,/tv/33217
Family Guy,/tv/1434
Stay Close,/tv/136308
The Cleaning Lady,/tv/125282
The Cleaning Lady,/tv/73043
The Cleaning Lady,/tv/17322
The Tourist,/tv/120909
This Is Us,/tv/67136
Chicago Med,/tv/62650
MacGyver,/tv/67133
MacGyver,/tv/2875
The Conners,/tv/80550
Gossip Girl,/tv/1395
Gossip Girl,/tv/95249
The Outpost,/tv/79340
Bodyguard,/tv/80307
Bodyguard,/tv/35834
Deadly Class,/tv/75663
Chicago Fire,/tv/44006
Coroner,/tv/85586
Bull,/tv/66840
Bull,/tv/11640
Bull,/tv/97034
Young Sheldon,/tv/71728
Naomi,/tv/125474
Naomi,/tv/36746
A Discovery of Witches,/tv/77236
Screw,/tv/153425
68 Whiskey,/tv/88947
Altered Carbon,/tv/68421
American Crime Story,/tv/64513
Dark,/tv/70523
Banshee,/tv/41727
Spartacus,/tv/46296
Spartacus,/tv/49258
A Million Little Things,/tv/81499
Wolf Like Me,/tv/136738
Archive 81,/tv/112314
Peacemaker,/tv/110492
Peacemaker,/tv/21788
Peacemaker,/tv/108886
Euphoria,/tv/85552
Euphoria,/tv/90417
