id,name,TMDB_ID,year
1,Batwoman,/tv/89247, 2019
3,FBI,/tv/80748, 2018
3,FBi,/tv/25651, 2000
5,Loki,/tv/84958, 2021
6,Legacies,/tv/79460, 2018
7,Lucifer,/tv/63174, 2016
8,Hanna,/tv/54155, 2019
9,SEAL Team,/tv/71789, 2017
10,Succession,/tv/76331, 2018
11,Yellowstone,/tv/73586, 2018
11,Yellowstone,/tv/19355, 2009
12,911,/tv/65619, 2015
13,The Great,/tv/93812, 2020
16,Money Heist,/tv/71446, 2017
18,Squid Game,/tv/93405, 2021
19,Queen of the South,/tv/66676, 2016
20,NCIS,/tv/4614, 2003
21,Bob Hearts Abishola,/tv/92461, 2019
23,The Big Leap,/tv/127161, 2021
24,Emily in Paris,/tv/82596, 2020
25,4400,/tv/127581, 2021
26,Insecure,/tv/67883, 2016
27,Nancy Drew,/tv/89572, 2019
27,Nancy Drew,/tv/26828, 1995
28,The Morning Show,/tv/90282, 2019
28,The Morning Show,/tv/1230, 2007
28,The Morning Show,/tv/41198,
28,The Morning Show,/tv/26688, 2003
30,Riverdale,/tv/69050, 2017
30,Riverdale,/tv/10298, 1997
31,The Flash,/tv/60735, 2014
31,The Flash,/tv/236, 1990
32,The Resident,/tv/74016, 2018
33,Chucky,/tv/90462, 2021
34,Alex Rider,/tv/99799, 2020
35,Invasion,/tv/127235, 2021
35,Invasion,/tv/2940, 2005
35,Invasion,/tv/72642, 1997
35,Invasion,/tv/15874,
38,Blue Bloods,/tv/32692, 2010
39,See,/tv/80752, 2019
41,Lost in Space,/tv/75758, 2018
41,Lost in Space,/tv/3051, 1965
42,The Box,/tv/128653, 2021
42,The Box,/tv/207795, 2022
42,The Box,/tv/40247,
42,The Box,/tv/10660,
42,The Box,/tv/12270,
43,The Sex Lives of College Girls,/tv/134373, 2021
44,The Rookie,/tv/79744, 2018
44,The Rookie,/tv/7583, 2007
45,Landscapers,/tv/113987, 2021
46,Sex Education,/tv/81356, 2019
48,Sex Life,/tv/91862, 2019
49,Never Have I Ever,/tv/100883, 2020
52,Hawkeye,/tv/88329, 2021
52,Hawkeye,/tv/6016, 1994
53,Queens,/tv/127390, 2021
53,Queens,/tv/70137, 2017
53,Queens,/tv/107890, 2020
54,Rick and Morty,/tv/60625, 2013
55,Tom and Jerry in New York,/tv/127445, 2021
56,Lie with Me,/tv/129019, 2021
58,The Witcher,/tv/71912, 2019
58,The Witcher,/tv/17625, 2002
59,Big Sky,/tv/100010, 2020
59,Big Sky,/tv/10703, 1997
60,MacGruber,/tv/107314, 2021
61,The Expanse,/tv/63639, 2015
62,Ragdoll,/tv/135156, 2021
63,Station Eleven,/tv/90972, 2021
64,Firebite,/tv/138525, 2021
66,Nikita,/tv/32868, 2010
67,Welcome to Earth,/tv/127700, 2021
69,Yellowjackets,/tv/117488, 2021
71,Dexter,/tv/1405, 2006
72,Day of the Dead,/tv/129897, 2021
73,Godfather of Harlem,/tv/79086, 2019
74,Blood and Water,/tv/64641, 2015
75,Cursed,/tv/83125, 2020
75,Cursed,/tv/5786, 2012
76,1883,/tv/118357, 2021
78,La Brea,/tv/128839, 2021
79,What If,/tv/203255, 2018
79,What If,/tv/208452, 2022
79,What If,/tv/115488, 2016
79,What If,/tv/66565, 2016
80,Strike Back,/tv/32573, 2010
80,Strike Back,/tv/126971, 2020
81,Supergirl,/tv/62688, 2015
82,The Blacklist,/tv/46952, 2013
83,You,/tv/78191, 2018
84,Dynasty,/tv/72002, 2017
84,Dynasty,/tv/3769, 1981
84,Dynasty,/tv/29938, 1970
84,Dynasty,/tv/138913, 2021
85,Station 19,/tv/76773, 2018
87,Arrow,/tv/1412, 2012
88,Wu Assassins,/tv/86752, 2019
90,Into the Badlands,/tv/47450, 2015
92,The Good Doctor,/tv/71712, 2017
93,Lupin,/tv/96677, 2021
94,Hightown,/tv/86588, 2020
95,Outer Banks,/tv/100757, 2020
96,Game of Thrones,/tv/1399, 2011
97,The 100,/tv/48866, 2014
98,Utopia,/tv/78903, 2020
98,Utopia,/tv/46511, 2013
98,Utopia,/tv/63699, 2014
98,Utopia,/tv/61806, 2014
98,Utopia,/tv/61298, 2014
99,DC's Legends of Tomorrow,/tv/62643, 2016
100,Designated Survivor,/tv/67026, 2016
101,The Last Ship,/tv/60802, 2014
102,11.22.63,/tv/64464, 2016
103,Letterkenny,/tv/65798, 2016
104,Vikings,/tv/44217, 2013
104,Vikings,/tv/61856, 2012
106,Kenan,/tv/116609, 2021
107,Cobra Kai,/tv/77169, 2018
108,Young Justice,/tv/33217, 2010
109,Around the World in 80 Days,/tv/96228, 2021
109,Around the World in 80 Days,/tv/20580, 1989
109,Around the World in 80 Days,/tv/31273, 2009
109,Around the World in 80 Days,/tv/91951, 1975
112,F is for Family,/tv/63522, 2015
113,Family Guy,/tv/1434, 1999
114,Elite,/tv/76669, 2018
115,Stay Close,/tv/136308, 2021
116,The Cleaning Lady,/tv/125282, 2022
116,The Cleaning Lady,/tv/73043, 2018
116,The Cleaning Lady,/tv/17322, 2004
117,The Tourist,/tv/120909, 2022
118,This Is Us,/tv/67136, 2016
120,Chicago Med,/tv/62650, 2015
121,MacGyver,/tv/67133, 2016
121,MacGyver,/tv/2875, 1985
122,The Conners,/tv/80550, 2018
123,Gossip Girl,/tv/1395, 2007
123,Gossip Girl,/tv/95249, 2021
124,The Outpost,/tv/79340, 2018
126,Bodyguard,/tv/80307, 2018
126,Bodyguard,/tv/35834, 2003
127,Deadly Class,/tv/75663, 2019
129,Chicago Fire,/tv/44006, 2012
131,Coroner,/tv/85586, 2019
133,Bull,/tv/66840, 2016
133,Bull,/tv/11640, 2000
133,Bull,/tv/97034, 2015
134,Young Sheldon,/tv/71728, 2017
135,Naomi,/tv/125474, 2022
135,Naomi,/tv/36746, 1999
136,A Discovery of Witches,/tv/77236, 2018
137,Screw,/tv/153425, 2022
138,68 Whiskey,/tv/88947, 2020
139,Altered Carbon,/tv/68421, 2018
140,American Crime Story,/tv/64513, 2016
141,Dark,/tv/70523, 2017
142,Banshee,/tv/41727, 2013
143,Spartacus,/tv/46296, 2010
143,Spartacus,/tv/49258, 2004
144,A Million Little Things,/tv/81499, 2018
145,Wolf Like Me,/tv/136738, 2022
146,Archive 81,/tv/112314, 2022
147,Peacemaker,/tv/110492, 2022
147,Peacemaker,/tv/21788, 2003
147,Peacemaker,/tv/108886, 2020
148,Euphoria,/tv/85552, 2019
148,Euphoria,/tv/90417, 2012
149,After Life,/tv/79410, 2019
149,After Life,/tv/123327, 2020
150,Attack on Titan,/tv/1429, 2013
151,New Amsterdam,/tv/80350, 2018
151,New Amsterdam,/tv/1144, 2008
152,How I Met Your Father,/tv/124010, 2022
154,The Book of Boba Fett,/tv/115036, 2021
155,Good Sam,/tv/125952, 2022
