movie_name,torrent_id,quality
The Matrix,363BC6C534B1430C6758318D196CCD61DB61B647,720p BluRay
The Matrix,D7A46713EAEE18C746B3254B7D1492A50FD9D6CE,1080p BluRay
The Matrix,28DEC3AC8CC8C5758730A334D98705DD698F7BC1,2160p BluRay
Shershaah,4CDEE4B590DE5A931CF9787CFA8AEA6BDB98F671,720p WEB
Shershaah,0EBBFCE529DC18CCADA5DAD04501228669BC34FB,1080p WEB
Once Upon a Time... In Hollywood,A18C009305BF056B120CA9E10D023FE1A4CDB162,720p BluRay
Once Upon a Time... In Hollywood,2B68B4DFEE0D1CC403D6B5B7A08E745FA45CB603,1080p BluRay
Once Upon a Time... In Hollywood,836B5DDF709A105D4BC50BA4F169930C5AC45687,2160p BluRay
Once Upon a Time... In Hollywood,DD04EBF70ACDCC924207AA882929F1924A40A7C8,720p WEB
Once Upon a Time... In Hollywood,FDF7E9B45A5104E7396989D9B4386F0FF9C202C9,1080p WEB
Wind River,641F30D878CFE281ACE9637F30EAC1A850F73091,720p BluRay
Wind River,F28F254E61F2D98D40AD1578C6B5318931647304,1080p BluRay
