id,a_id,movie_name,year,torrent_id,quality
1,231,The Matrix,1999,363BC6C534B1430C6758318D196CCD61DB61B647,720p BluRay
2,231,The Matrix,1999,D7A46713EAEE18C746B3254B7D1492A50FD9D6CE,1080p BluRay
3,231,The Matrix,1999,28DEC3AC8CC8C5758730A334D98705DD698F7BC1,2160p BluRay
4,232,Shershaah,2021,4CDEE4B590DE5A931CF9787CFA8AEA6BDB98F671,720p WEB
5,232,Shershaah,2021,0EBBFCE529DC18CCADA5DAD04501228669BC34FB,1080p WEB
6,233,Once Upon a Time... In Hollywood,2019,A18C009305BF056B120CA9E10D023FE1A4CDB162,720p BluRay
7,233,Once Upon a Time... In Hollywood,2019,2B68B4DFEE0D1CC403D6B5B7A08E745FA45CB603,1080p BluRay
8,233,Once Upon a Time... In Hollywood,2019,836B5DDF709A105D4BC50BA4F169930C5AC45687,2160p BluRay
9,233,Once Upon a Time... In Hollywood,2019,DD04EBF70ACDCC924207AA882929F1924A40A7C8,720p WEB
10,233,Once Upon a Time... In Hollywood,2019,FDF7E9B45A5104E7396989D9B4386F0FF9C202C9,1080p WEB
11,234,Wind River,2017,641F30D878CFE281ACE9637F30EAC1A850F73091,720p BluRay
12,234,Wind River,2017,F28F254E61F2D98D40AD1578C6B5318931647304,1080p BluRay
13,236,The Shawshank Redemption,1994,AC418DB33FA5CEA4FAB11BC58008FE08F291C9BE,720p BluRay
14,236,The Shawshank Redemption,1994,E0D00667650ABA9EE05AACBBBD8B55EA8A51F534,1080p BluRay
15,236,The Shawshank Redemption,1994,C3DA9A3DC2CE14D0D4FC0E87D1B2023502F8DCD6,2160p BluRay
16,237,Avengers: Endgame,2019,134F7AF967DBDB585A934A24C9F2A2EEE72E2A93,3D BluRay
17,237,Avengers: Endgame,2019,5A4140BD59D66BCAC57CF05AF4A8FAB4EBCAE1C1,720p BluRay
18,237,Avengers: Endgame,2019,223F7484D326AD8EFD3CF1E548DED524833CB77E,1080p BluRay
19,237,Avengers: Endgame,2019,709FBD48374D2AE13C11B07A26B5E7DDC727D720,2160p BluRay
20,237,Avengers: Endgame,2019,9D62160EEE330397A7A7BABA989A269C58CCFD8E,720p WEB
21,237,Avengers: Endgame,2019,414A6F933C48FC7543A9CDB42C854B5457C5BCC7,1080p WEB
22,239,Guardians of the Galaxy,2014,45528B34F2B9E813B1A794D3666E4C6FA7073793,3D BluRay
23,239,Guardians of the Galaxy,2014,836D2E8C6350E4CE3800E812B60DE53A63FEB027,720p BluRay
24,239,Guardians of the Galaxy,2014,11A2AC68A11634E980F265CB1433C599D017A759,1080p BluRay
25,239,Guardians of the Galaxy,2014,E89E735036A846358957A1CC6F363FC131D85B7A,2160p WEB
26,240,The Father,2020,5BFBED6D7692B97098B63CFBC958DBBA9EE30C8A,720p BluRay
